,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Josh Whyle,TEN,5,2,40.00%,12,1,10.6%,2,1,50.00%,2,1,8.7%,All Josh Whyle red zone receiving plays,WhylJo01
Cedrick Wilson,MIA,5,2,40.00%,9,2,7.5%,4,2,50.00%,9,2,9.1%,All Cedrick Wilson red zone receiving plays,WilsCe01
Andrew Beck,HOU,4,3,75.00%,1,2,5.9%,3,3,100.00%,1,2,8.3%,All Andrew Beck red zone receiving plays,BeckAn01
Jake Bobo,SEA,4,2,50.00%,23,2,6.2%,1,1,100.00%,5,1,4.2%,All Jake Bobo red zone receiving plays,BoboJa00
Parris Campbell,NYG,4,2,50.00%,5,0,12.1%,1,0,0.00%,0,0,8.3%,All Parris Campbell red zone receiving plays,CampPa00
Michael Carter,2TM,4,2,50.00%,7,1,,2,2,100.00%,7,1,,All Michael Carter red zone receiving plays,CartMi03
Randall Cobb,NYJ,4,3,75.00%,31,1,8.2%,0,0,,0,0,.0%,All Randall Cobb red zone receiving plays,CobbRa00
River Cracraft,MIA,4,2,50.00%,4,1,6.0%,4,2,50.00%,4,1,9.1%,All River Cracraft red zone receiving plays,CracRi00
Demario Douglas,NWE,4,2,50.00%,5,0,11.1%,2,0,0.00%,0,0,15.4%,All Demario Douglas red zone receiving plays,DougDe00
Rico Dowdle,DAL,4,3,75.00%,28,2,3.8%,0,0,,0,0,.0%,All Rico Dowdle red zone receiving plays,DowdRi01
Ezekiel Elliott,NWE,4,3,75.00%,32,2,11.1%,0,0,,0,0,.0%,All Ezekiel Elliott red zone receiving plays,ElliEz00
Michael Gallup,DAL,4,1,25.00%,1,1,3.8%,1,1,100.00%,1,1,2.0%,All Michael Gallup red zone receiving plays,GallMi00
Malik Heath,GNB,4,2,50.00%,9,1,4.4%,2,1,50.00%,6,1,5.4%,All Malik Heath red zone receiving plays,HeatMa00
Khalil Herbert,CHI,4,2,50.00%,7,1,7.1%,2,2,100.00%,7,1,7.7%,All Khalil Herbert red zone receiving plays,HerbKh00
Taysom Hill,NOR,4,1,25.00%,2,1,6.2%,3,1,33.33%,2,1,9.1%,All Taysom Hill red zone receiving plays,HillTa00
Lil'Jordan Humphrey,DEN,4,4,100.00%,17,2,6.2%,2,2,100.00%,8,2,5.7%,All Lil'Jordan Humphrey red zone receiving plays,HumpLi01
Roschon Johnson,CHI,4,3,75.00%,15,0,7.1%,1,1,100.00%,1,0,3.8%,All Roschon Johnson red zone receiving plays,JohnRo07
Julio Jones,PHI,4,3,75.00%,26,2,8.2%,1,1,100.00%,8,1,5.9%,All Julio Jones red zone receiving plays,JoneJu02
Foster Moreau,NOR,4,3,75.00%,13,1,6.2%,3,2,66.67%,7,1,9.1%,All Foster Moreau red zone receiving plays,MoreFo00
Johnny Mundt,MIN,4,2,50.00%,14,1,5.1%,3,2,66.67%,14,1,6.4%,All Johnny Mundt red zone receiving plays,MundJo00
A.T. Perry,NOR,4,3,75.00%,39,3,6.2%,2,1,50.00%,6,1,6.1%,All A.T. Perry red zone receiving plays,PerrAT00
Kalif Raymond,DET,4,3,75.00%,25,0,6.2%,0,0,,0,0,.0%,All Kalif Raymond red zone receiving plays,RaymKa00
